import time: self [us] | cumulative | imported package
import time:       590 |        590 |                           torch.distributed.rendezvous
import time:      2614 |       4749 |                         torch.distributed.distributed_c10d
import time:       532 |        532 |                         torch.distributed.remote_device
import time:      3760 |      14254 |                       torch.distributed
import time:       683 |        683 |                         torch.futures
import time:       976 |        976 |                         torch.distributed.rpc.internal
import time:       444 |        444 |                         torch.distributed.rpc.constants
import time:       530 |        530 |                         torch.distributed.rpc._utils
import time:      1238 |       3868 |                       torch.distributed.rpc.api
import time:       906 |        906 |                       torch.distributed.rpc.backend_registry
import time:       474 |        474 |                       torch.distributed.rpc.functions
import time:       645 |        645 |                       torch.distributed.autograd
import time:       737 |        737 |                       torch.distributed.rpc.options
import time:       677 |        677 |                             torch._vmap_internals
import time:       533 |        533 |                                 torch.utils._contextlib
import time:       792 |       1324 |                               torch.autograd.grad_mode
import time:       808 |       2131 |                             torch.autograd.forward_ad
import time:       725 |        725 |                             torch.autograd.functional
import time:       469 |        469 |                                 torchgen
import time:      1977 |       2446 |                               torch.utils._python_dispatch
import time:      1107 |       3552 |                             torch.autograd.graph
import time:      1063 |       1063 |                             torch.autograd.anomaly_mode
import time:       448 |        448 |                               torch._functorch
import time:       818 |        818 |                                   torch._functorch.pyfunctorch
import time:       978 |       1796 |                                 torch._ops
import time:       459 |        459 |                                 torch._functorch.utils
import time:       723 |        723 |                                 torch._functorch.vmap
import time:       491 |        491 |                                 torch._functorch.apis
import time:      1249 |       4717 |                               torch._functorch.autograd_function
import time:      4890 |      10054 |                             torch.autograd.function
import time:      1883 |       1883 |                                   cmath
import time:      2054 |       3936 |                                 torch.testing._comparison
import time:      1769 |       1769 |                                 torch.testing._creation
import time:       513 |       6217 |                               torch.testing
import time:      2346 |       8563 |                             torch.autograd.gradcheck
import time:       470 |        470 |                             torch.autograd.variable
import time:      1915 |       1915 |                               torch.autograd.profiler_util
import time:       854 |       2769 |                             torch.autograd.profiler
import time:      2939 |      32938 |                           torch.autograd
import time:       627 |      33564 |                         torch.autograd.profiler_legacy
import time:       532 |      34096 |                       torch.distributed.rpc.server_process_global_profiler
import time:      1641 |      56617 |                     torch.distributed.rpc
import time:      1238 |       1238 |                                 pickletools
import time:       530 |        530 |                                 torch.package._digraph
import time:       463 |        463 |                                 torch.package._importlib
import time:       483 |        483 |                                 torch.package._mangling
import time:       644 |        644 |                                   torch.package.importer
import time:       503 |       1147 |                                 torch.package._package_pickler
import time:       905 |        905 |                                 torch.package._stdlib
import time:       611 |        611 |                                 torch.package.find_file_dependencies
import time:       530 |        530 |                                 torch.package.glob_group
import time:      2039 |       7942 |                               torch.package.package_exporter
import time:       517 |       8459 |                             torch.package.analyze.find_first_use_of_broken_modules
import time:       484 |        484 |                             torch.package.analyze.trace_dependencies
import time:       583 |       9525 |                           torch.package.analyze
import time:       418 |       9943 |                         torch.package.analyze.is_from_package
import time:       446 |        446 |                         torch.package.file_structure_representation
import time:       479 |        479 |                           torch.package._directory_reader
import time:       453 |        453 |                           torch.package._package_unpickler
import time:       975 |       1906 |                         torch.package.package_importer
import time:       478 |      12771 |                       torch.package
import time:        43 |      12813 |                     torch.package._mangling
import time:       622 |        622 |                     torch._awaits
import time:      1360 |      71411 |                   torch._jit_internal
import time:       319 |        319 |                   torch.nn._reduction
import time:       452 |        452 |                     torch.nn.modules.utils
import time:       461 |        913 |                   torch.nn.grad
import time:      7546 |      83776 |                 torch.nn.functional
import time:       873 |        873 |                 torch.nn.init
import time:       786 |        786 |                 torch.nn.modules.lazy
import time:      1217 |      86651 |               torch.nn.modules.linear
import time:      1869 |       1869 |                 torch.nn.common_types
import time:      2405 |       4273 |               torch.nn.modules.conv
import time:      1715 |       1715 |               torch.nn.modules.activation
import time:       705 |        705 |                 torch.nn.modules.distance
import time:      1377 |       2082 |               torch.nn.modules.loss
import time:      1693 |       1693 |               torch.nn.modules.container
import time:      1625 |       1625 |               torch.nn.modules.pooling
import time:       811 |        811 |                 torch.nn.modules._functions
import time:      1168 |       1979 |               torch.nn.modules.batchnorm
import time:       807 |        807 |               torch.nn.modules.instancenorm
import time:       826 |        826 |               torch.nn.modules.normalization
import time:       747 |        747 |               torch.nn.modules.dropout
import time:      1330 |       1330 |               torch.nn.modules.padding
import time:       862 |        862 |               torch.nn.modules.sparse
import time:      1204 |       1204 |                     torch.nn.utils.rnn
import time:       610 |        610 |                       torch.utils._foreach_utils
import time:       593 |       1203 |                     torch.nn.utils.clip_grad
import time:       327 |        327 |                     torch.nn.utils.weight_norm
import time:       279 |        279 |                     torch.nn.utils.convert_parameters
import time:       517 |        517 |                     torch.nn.utils.spectral_norm
import time:       526 |        526 |                     torch.nn.utils.fusion
import time:       228 |        228 |                     torch.nn.utils.memory_format
import time:       503 |        503 |                       torch.nn.utils.parametrize
import time:       677 |       1180 |                     torch.nn.utils.parametrizations
import time:       260 |        260 |                     torch.nn.utils.init
import time:       743 |        743 |                       torch.nn.utils._named_member_accessor
import time:       517 |       1260 |                     torch.nn.utils.stateless
import time:       894 |       7874 |                   torch.nn.utils
import time:        62 |       7935 |                 torch.nn.utils.rnn
import time:      4250 |      12185 |               torch.nn.modules.rnn
import time:       499 |        499 |               torch.nn.modules.pixelshuffle
import time:       828 |        828 |               torch.nn.modules.upsampling
import time:       464 |        464 |               torch.nn.modules.fold
import time:       530 |        530 |               torch.nn.modules.adaptive
import time:       872 |        872 |               torch.nn.modules.transformer
import time:       540 |        540 |               torch.nn.modules.flatten
import time:       324 |        324 |               torch.nn.modules.channelshuffle
import time:      1729 |     130633 |             torch.nn.modules
import time:       615 |        615 |               torch.nn.parallel.parallel_apply
